target,result
raisin-paste,paste
coca,coca
corn-sugar,sugar
nicin,nicin
thimine-mononitrate,mononitrate
maltodextrin-salt,salt
mustard,mustard
dry-molasses,molasse
mustard-seed,seed
gar-spices,spice
oleoresin-turmeric,turmeric
wholemeal-barley,barley
wholemeal-rye,rye
protein-isoalte,isoalte
lactic,lactic
comb,comb
idaho-potato,potato
chipotle,chipotle
peanuts-salt,salt
includes-rosemary,rosemary
grain-mix,mix
durum,durum
brownie-mix,mix
red-sprinkles,sprinkle
blue-sprinkles,sprinkle
bleached,bleached
agave,agave
pyriodoxine-hydrochloride,hydrochloride
whole-almonds,almond
coffee-beans,bean
egg-powder,powder
artificial-butter,butter
glutinous-rice,rice
wafer-paper,paper
seaweed,seaweed
cooking-wine,wine
trehalose,trehalose
horseradish,horseradish
apple-grape,grape
raspberry-juice,juice
can-sugar,sugar
spice-drops,drop
modified-arch,arch
u-s,s
ipon,ipon
thiamine-monontrate,monontrate
annaito,annaito
refined-wax,wax
cinnamon-discs,disc
butterscotch-discs,disc
peppermint-discs,disc
spearmint-discs,disc
high-fructose,fructose
geltain,geltain
vegetable-gum,gum
and-arabic,arabic
sweet-chocolate,chocolate
vegetable-monoglycerides,monoglyceride
brownie-base,base
white-icing,icing
liquid-sugar,sugar
wild-blueberry,blueberry
modified-palm,palm
roboflavin,roboflavin
cinnamon-roll,roll
carboxmethylcellulose,carboxmethylcellulose
corn-crisps,crisp
artificial-f,f
neufchatel-cheese,cheese
cherry-filling,filling
tumeric,tumeric
sodium-stearoyl,stearoyl
lactylate,lactylate
silicone-dioxide,dioxide
ramano,ramano
non,non
guar-cum,cum
oatmeal,oatmeal
bakers-cream,cream
chocolatey-coating,coating
brownie,brownie
browne,browne
fractionated-palm,palm
rice-cereal,cereal
malt-flavouring,flavouring
calcium-pantothenate,pantothenate
pantothenic-acid,acid
apple-cinnamon,cinnamon
carrot-fiber,fiber
cinnamon-bun,bun
eggnog,eggnog
gingerbread,gingerbread
toffee-pieces,piece
sour-cherry,cherry
marion-blackberries,blackberrie
seedless-strawberries,strawberrie
crushed-pretzels,pretzel
caramel-coating,coating
leavenin,leavenin
blea,blea
bleached-enriched,enriched
cornstarch-natural,natural
caramel-filling,filling
apple-filling,filling
red,red
burnt-sugar,sugar
blackstrap-molasses,molasse
breadcrumbs,breadcrumb
strawberry-bits,bit
candy-chips,chip
orange-pulp,pulp
pulp,pulp
champagne,champagne
alcohol,alcohol
vanilla-powder,powder
pure-vanilla,vanilla
